timestamp,sensor_id,sensor_type,value,unit
2025-12-11 17:45:58,Kitchen_Temp,Environment,21.12,C
2025-12-11 17:46:03,FrontDoor_Lock,Security,1,State
2025-12-11 17:46:08,FrontDoor_Lock,Security,0,State
2025-12-11 17:46:13,FrontDoor_Lock,Security,0,State
2025-12-11 17:46:18,Kitchen_Temp,Environment,30.48,C
2025-12-11 17:46:23,FrontDoor_Lock,Security,0,State
2025-12-11 17:46:28,Kitchen_Temp,Environment,29.15,C
2025-12-11 17:46:33,FrontDoor_Lock,Security,0,State
2025-12-11 17:46:38,SmartPlug_TV,Energy,347.51,Watts
2025-12-11 17:46:43,Kitchen_Temp,Environment,29.67,C
2025-12-11 17:46:48,SmartPlug_TV,Energy,60.98,Watts
2025-12-11 17:46:53,FrontDoor_Lock,Security,0,State
2025-12-11 17:46:58,FrontDoor_Lock,Security,1,State
2025-12-11 17:47:03,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:47:08,Kitchen_Temp,Environment,19.52,C
2025-12-11 17:47:13,Kitchen_Temp,Environment,31.49,C
2025-12-11 17:47:18,FrontDoor_Lock,Security,1,State
2025-12-11 17:47:23,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:47:28,Kitchen_Temp,Environment,31.86,C
2025-12-11 17:47:33,Kitchen_Temp,Environment,26.06,C
2025-12-11 17:47:38,Kitchen_Temp,Environment,26.34,C
2025-12-11 17:47:43,FrontDoor_Lock,Security,1,State
2025-12-11 17:47:48,FrontDoor_Lock,Security,1,State
2025-12-11 17:47:53,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:47:58,Kitchen_Temp,Environment,30.15,C
2025-12-11 17:48:03,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:48:08,Kitchen_Temp,Environment,31.64,C
2025-12-11 17:48:13,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:48:18,Kitchen_Temp,Environment,33.82,C
2025-12-11 17:48:23,Kitchen_Temp,Environment,26.56,C
2025-12-11 17:48:28,SmartPlug_TV,Energy,152.16,Watts
2025-12-11 17:48:33,SmartPlug_TV,Energy,255.92,Watts
2025-12-11 17:48:38,FrontDoor_Lock,Security,0,State
2025-12-11 17:48:43,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:48:48,SmartPlug_TV,Energy,149.34,Watts
2025-12-11 17:48:53,SmartPlug_TV,Energy,73.13,Watts
2025-12-11 17:48:58,SmartPlug_TV,Energy,143.43,Watts
2025-12-11 17:49:03,Kitchen_Temp,Environment,20.65,C
2025-12-11 17:49:08,FrontDoor_Lock,Security,1,State
2025-12-11 17:49:13,Kitchen_Temp,Environment,23.51,C
2025-12-11 17:49:18,SmartPlug_TV,Energy,71.03,Watts
2025-12-11 17:49:23,FrontDoor_Lock,Security,0,State
2025-12-11 17:49:28,FrontDoor_Lock,Security,1,State
2025-12-11 17:49:33,FrontDoor_Lock,Security,0,State
2025-12-11 17:49:38,FrontDoor_Lock,Security,1,State
2025-12-11 17:49:43,Kitchen_Temp,Environment,23.19,C
2025-12-11 17:49:48,SmartPlug_TV,Energy,267.62,Watts
2025-12-11 17:49:53,FrontDoor_Lock,Security,0,State
2025-12-11 17:49:58,SmartPlug_TV,Energy,432.53,Watts
2025-12-11 17:50:03,SmartPlug_TV,Energy,117.17,Watts
2025-12-11 17:50:08,Kitchen_Temp,Environment,29.67,C
2025-12-11 17:50:13,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:50:18,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:50:23,SmartPlug_TV,Energy,126.17,Watts
2025-12-11 17:50:28,SmartPlug_TV,Energy,136.89,Watts
2025-12-11 17:50:33,FrontDoor_Lock,Security,0,State
2025-12-11 17:50:38,SmartPlug_TV,Energy,178.52,Watts
2025-12-11 17:50:43,FrontDoor_Lock,Security,0,State
2025-12-11 17:50:48,FrontDoor_Lock,Security,0,State
2025-12-11 17:50:53,Kitchen_Temp,Environment,21.98,C
2025-12-11 17:50:58,FrontDoor_Lock,Security,1,State
2025-12-11 17:51:03,SmartPlug_TV,Energy,426.21,Watts
2025-12-11 17:51:08,SmartPlug_TV,Energy,445.13,Watts
2025-12-11 17:51:13,SmartPlug_TV,Energy,278.42,Watts
2025-12-11 17:51:18,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:51:23,FrontDoor_Lock,Security,0,State
2025-12-11 17:51:28,Kitchen_Temp,Environment,25.56,C
2025-12-11 17:51:33,FrontDoor_Lock,Security,1,State
2025-12-11 17:51:38,FrontDoor_Lock,Security,0,State
2025-12-11 17:51:43,Kitchen_Temp,Environment,32.19,C
2025-12-11 17:51:48,Kitchen_Temp,Environment,29.13,C
2025-12-11 17:51:53,FrontDoor_Lock,Security,0,State
2025-12-11 17:51:58,FrontDoor_Lock,Security,1,State
2025-12-11 17:52:03,SmartPlug_TV,Energy,274.83,Watts
2025-12-11 17:52:08,FrontDoor_Lock,Security,0,State
2025-12-11 17:52:13,Kitchen_Temp,Environment,19.65,C
2025-12-11 17:52:18,SmartPlug_TV,Energy,108.32,Watts
2025-12-11 17:52:23,SmartPlug_TV,Energy,238.53,Watts
2025-12-11 17:52:28,FrontDoor_Lock,Security,0,State
2025-12-11 17:52:33,SmartPlug_TV,Energy,164.31,Watts
2025-12-11 17:52:38,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:52:43,FrontDoor_Lock,Security,1,State
2025-12-11 17:52:48,Kitchen_Temp,Environment,33.88,C
2025-12-11 17:52:53,FrontDoor_Lock,Security,1,State
2025-12-11 17:52:58,SmartPlug_TV,Energy,187.39,Watts
2025-12-11 17:53:03,FrontDoor_Lock,Security,0,State
2025-12-11 17:53:08,FrontDoor_Lock,Security,0,State
2025-12-11 17:53:13,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:53:18,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:53:23,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:53:28,Kitchen_Temp,Environment,24.32,C
2025-12-11 17:53:33,SmartPlug_TV,Energy,277.81,Watts
2025-12-11 17:53:38,Kitchen_Temp,Environment,34.26,C
2025-12-11 17:53:43,Kitchen_Temp,Environment,28.5,C
2025-12-11 17:53:48,SmartPlug_TV,Energy,214.13,Watts
2025-12-11 17:53:53,Kitchen_Temp,Environment,24.15,C
2025-12-11 17:53:58,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:54:03,Kitchen_Temp,Environment,19.05,C
2025-12-11 17:54:08,Kitchen_Temp,Environment,24.12,C
2025-12-11 17:54:13,Kitchen_Temp,Environment,31.82,C
2025-12-11 17:54:18,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:54:23,SmartPlug_TV,Energy,431.89,Watts
2025-12-11 17:54:28,FrontDoor_Lock,Security,1,State
2025-12-11 17:54:33,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:54:38,SmartPlug_TV,Energy,303.29,Watts
2025-12-11 17:54:43,SmartPlug_TV,Energy,470.49,Watts
2025-12-11 17:54:48,Kitchen_Temp,Environment,29.88,C
2025-12-11 17:54:53,FrontDoor_Lock,Security,0,State
2025-12-11 17:54:58,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:55:03,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:55:08,FrontDoor_Lock,Security,0,State
2025-12-11 17:55:13,FrontDoor_Lock,Security,0,State
2025-12-11 17:55:18,FrontDoor_Lock,Security,1,State
2025-12-11 17:55:23,FrontDoor_Lock,Security,0,State
2025-12-11 17:55:28,SmartPlug_TV,Energy,455.58,Watts
2025-12-11 17:55:33,SmartPlug_TV,Energy,233.16,Watts
2025-12-11 17:55:38,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:55:43,Kitchen_Temp,Environment,28.6,C
2025-12-11 17:55:48,FrontDoor_Lock,Security,0,State
2025-12-11 17:55:53,SmartPlug_TV,Energy,471.44,Watts
2025-12-11 17:55:58,SmartPlug_TV,Energy,167.59,Watts
2025-12-11 17:56:03,SmartPlug_TV,Energy,187.84,Watts
2025-12-11 17:56:08,Kitchen_Temp,Environment,20.03,C
2025-12-11 17:56:13,Kitchen_Temp,Environment,23.33,C
2025-12-11 17:56:18,FrontDoor_Lock,Security,0,State
2025-12-11 17:56:23,Kitchen_Temp,Environment,25.29,C
2025-12-11 17:56:28,SmartPlug_TV,Energy,225.91,Watts
2025-12-11 17:56:33,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:56:38,Kitchen_Temp,Environment,20.84,C
2025-12-11 17:56:43,SmartPlug_TV,Energy,387.45,Watts
2025-12-11 17:56:48,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:56:53,Kitchen_Temp,Environment,21.87,C
2025-12-11 17:56:58,Kitchen_Temp,Environment,33.27,C
2025-12-11 17:57:03,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:57:08,FrontDoor_Lock,Security,1,State
2025-12-11 17:57:13,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:57:18,FrontDoor_Lock,Security,0,State
2025-12-11 17:57:23,FrontDoor_Lock,Security,1,State
2025-12-11 17:57:28,SmartPlug_TV,Energy,166.68,Watts
2025-12-11 17:57:33,SmartPlug_TV,Energy,367.2,Watts
2025-12-11 17:57:38,FrontDoor_Lock,Security,0,State
2025-12-11 17:57:43,Kitchen_Temp,Environment,32.89,C
2025-12-11 17:57:48,FrontDoor_Lock,Security,1,State
2025-12-11 17:57:53,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:57:58,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:58:03,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:58:08,Kitchen_Temp,Environment,26.87,C
2025-12-11 17:58:13,Kitchen_Temp,Environment,23.62,C
2025-12-11 17:58:18,FrontDoor_Lock,Security,1,State
2025-12-11 17:58:23,LivingRoom_Motion,Security,1,Boolean
